,date,declination,right_ascension
313,11/11/2018,0d 28m 36s South,12h 26m 3s
314,11/12/2018,0d 30m 25s South,12h 26m 22s
315,11/13/2018,0d 32m 12s South,12h 26m 40s
316,11/14/2018,0d 33m 57s South,12h 26m 58s
317,11/15/2018,0d 35m 41s South,12h 27m 16s
318,11/16/2018,0d 37m 23s South,12h 27m 34s
319,11/17/2018,0d 39m 4s South,12h 27m 51s
320,11/18/2018,0d 40m 42s South,12h 28m 8s
321,11/19/2018,0d 42m 19s South,12h 28m 25s
322,11/20/2018,0d 43m 54s South,12h 28m 42s
323,11/21/2018,0d 45m 28s South,12h 28m 58s
324,11/22/2018,0d 46m 59s South,12h 29m 15s
325,11/23/2018,0d 48m 29s South,12h 29m 30s
326,11/24/2018,0d 49m 56s South,12h 29m 46s
327,11/25/2018,0d 51m 22s South,12h 30m 1s
328,11/26/2018,0d 52m 46s South,12h 30m 17s
329,11/27/2018,0d 54m 8s South,12h 30m 31s
330,11/28/2018,0d 55m 28s South,12h 30m 46s
331,11/29/2018,0d 56m 46s South,12h 31m 0s
332,11/30/2018,0d 58m 1s South,12h 31m 14s
333,12/1/2018,0d 59m 15s South,12h 31m 28s
334,12/2/2018,1d 0m 27s South,12h 31m 41s
335,12/3/2018,1d 1m 36s South,12h 31m 54s
336,12/4/2018,1d 2m 43s South,12h 32m 7s
337,12/5/2018,1d 3m 49s South,12h 32m 19s
338,12/6/2018,1d 4m 52s South,12h 32m 31s
339,12/7/2018,1d 5m 52s South,12h 32m 43s
340,12/8/2018,1d 6m 51s South,12h 32m 55s
341,12/9/2018,1d 7m 47s South,12h 33m 6s
342,12/10/2018,1d 8m 41s South,12h 33m 17s
343,12/11/2018,1d 9m 33s South,12h 33m 27s
344,12/12/2018,1d 10m 22s South,12h 33m 37s
345,12/13/2018,1d 11m 9s South,12h 33m 47s
346,12/14/2018,1d 11m 54s South,12h 33m 57s
347,12/15/2018,1d 12m 36s South,12h 34m 6s
348,12/16/2018,1d 13m 16s South,12h 34m 14s
349,12/17/2018,1d 13m 54s South,12h 34m 23s
350,12/18/2018,1d 14m 29s South,12h 34m 31s
351,12/19/2018,1d 15m 1s South,12h 34m 39s
352,12/20/2018,1d 15m 32s South,12h 34m 46s
353,12/21/2018,1d 15m 59s South,12h 34m 53s
354,12/22/2018,1d 16m 24s South,12h 34m 59s
355,12/23/2018,1d 16m 47s South,12h 35m 6s
356,12/24/2018,1d 17m 7s South,12h 35m 11s
357,12/25/2018,1d 17m 25s South,12h 35m 17s
358,12/26/2018,1d 17m 40s South,12h 35m 22s
359,12/27/2018,1d 17m 52s South,12h 35m 26s
360,12/28/2018,1d 18m 2s South,12h 35m 31s
361,12/29/2018,1d 18m 9s South,12h 35m 34s
362,12/30/2018,1d 18m 14s South,12h 35m 38s
363,12/31/2018,1d 18m 16s South,12h 35m 41s
364,1/1/2019,1d 18m 15s South,12h 35m 44s
365,1/2/2019,1d 18m 12s South,12h 35m 46s
