,date,declination,right_ascension
316,11/14/2018,19d 44m 32s South,15h 56m 54s
317,11/15/2018,19d 47m 19s South,15h 57m 49s
318,11/16/2018,19d 50m 5s South,15h 58m 45s
319,11/17/2018,19d 52m 50s South,15h 59m 40s
320,11/18/2018,19d 55m 34s South,16h 0m 36s
321,11/19/2018,19d 58m 17s South,16h 1m 32s
322,11/20/2018,20d 0m 59s South,16h 2m 27s
323,11/21/2018,20d 3m 39s South,16h 3m 23s
324,11/22/2018,20d 6m 19s South,16h 4m 19s
325,11/23/2018,20d 8m 57s South,16h 5m 15s
326,11/24/2018,20d 11m 34s South,16h 6m 11s
327,11/25/2018,20d 14m 10s South,16h 7m 7s
328,11/26/2018,20d 16m 45s South,16h 8m 3s
329,11/27/2018,20d 19m 19s South,16h 8m 59s
330,11/28/2018,20d 21m 51s South,16h 9m 55s
331,11/29/2018,20d 24m 22s South,16h 10m 52s
332,11/30/2018,20d 26m 52s South,16h 11m 48s
333,12/1/2018,20d 29m 20s South,16h 12m 44s
334,12/2/2018,20d 31m 47s South,16h 13m 40s
335,12/3/2018,20d 34m 13s South,16h 14m 36s
336,12/4/2018,20d 36m 38s South,16h 15m 32s
337,12/5/2018,20d 39m 1s South,16h 16m 29s
338,12/6/2018,20d 41m 23s South,16h 17m 25s
339,12/7/2018,20d 43m 43s South,16h 18m 21s
340,12/8/2018,20d 46m 2s South,16h 19m 17s
341,12/9/2018,20d 48m 20s South,16h 20m 13s
342,12/10/2018,20d 50m 36s South,16h 21m 9s
343,12/11/2018,20d 52m 51s South,16h 22m 5s
344,12/12/2018,20d 55m 4s South,16h 23m 1s
345,12/13/2018,20d 57m 16s South,16h 23m 56s
346,12/14/2018,20d 59m 26s South,16h 24m 52s
347,12/15/2018,21d 1m 35s South,16h 25m 48s
348,12/16/2018,21d 3m 43s South,16h 26m 43s
349,12/17/2018,21d 5m 49s South,16h 27m 39s
350,12/18/2018,21d 7m 53s South,16h 28m 34s
351,12/19/2018,21d 9m 56s South,16h 29m 30s
352,12/20/2018,21d 11m 58s South,16h 30m 25s
